1.0.0.0,1.0.0.255,OC,AU,Queensland,"South Brisbane",-27.4748,153.017
1.0.1.0,1.0.3.255,AS,CN,Fujian,Qingzhou,26.4837,117.925
1.0.4.0,1.0.7.255,OC,AU,Victoria,"Narre Warren",-38.0267,145.301
1.0.8.0,1.0.15.255,AS,CN,Guangdong,"Guangzhou Shi",23.379,113.763
1.0.16.0,1.0.31.255,AS,JP,Tokyo,Shinjuku,35.6978,139.706
1.0.32.0,1.0.63.255,AS,CN,Guangdong,"Guangzhou Shi",23.379,113.763
1.0.64.0,1.0.66.255,AS,JP,Hiroshima,Higashi-ku,34.4015,132.477
1.0.67.0,1.0.70.255,AS,JP,Hiroshima,Hiroshima,34.4,132.45
1.0.71.0,1.0.75.255,AS,JP,Hiroshima,Higashi-ku,34.4015,132.477
1.0.76.0,1.0.76.255,AS,JP,Hiroshima,Miyajima,34.2991,132.322
1.0.77.0,1.0.77.255,AS,JP,Hiroshima,Hiroshima,34.4,132.45
1.0.78.0,1.0.78.255,AS,JP,Hiroshima,Higashi-ku,34.4015,132.477
1.0.79.0,1.0.79.255,AS,JP,Hiroshima,Hiroshima,34.4,132.45
1.0.80.0,1.0.82.255,AS,JP,Hiroshima,Higashi-ku,34.4015,132.477
1.0.83.0,1.0.83.255,AS,JP,Tottori,Kurayoshi,35.4333,133.817
1.0.84.0,1.0.84.255,AS,JP,Tottori,Yonago,35.4333,133.333
1.0.85.0,1.0.85.255,AS,JP,Shimane,Hiratachō,35.4333,132.817
1.0.86.0,1.0.87.255,AS,JP,Hiroshima,Higashi-ku,34.4015,132.477
1.0.88.0,1.0.88.255,AS,JP,Shimane,Matsue,35.4833,133.05
1.0.89.0,1.0.90.255,AS,JP,Hiroshima,Higashi-ku,34.4015,132.477
1.0.91.0,1.0.92.255,AS,JP,Shimane,Izumo,35.3667,132.767
1.0.93.0,1.0.95.255,AS,JP,Hiroshima,Higashi-ku,34.4015,132.477
1.0.96.0,1.0.98.255,AS,JP,Shimane,Izumo,35.3667,132.767
1.0.99.0,1.0.99.255,AS,JP,Hiroshima,Higashi-ku,34.4015,132.477
1.0.100.0,1.0.100.255,AS,JP,Shimane,Izumo,35.3667,132.767
1.0.101.0,1.0.103.255,AS,JP,Hiroshima,Higashi-ku,34.4015,132.477
1.0.104.0,1.0.104.255,AS,JP,Shimane,Izumo,35.3667,132.767
1.0.105.0,1.0.106.255,AS,JP,Shimane,Matsue,35.4833,133.05
1.0.107.0,1.0.107.255,AS,JP,Tottori,Tottori-shi,35.5,134.233
1.0.108.0,1.0.109.255,AS,JP,Hiroshima,Higashi-ku,34.4015,132.477
1.0.110.0,1.0.110.255,AS,JP,Shimane,Izumo,35.3667,132.767
1.0.111.0,1.0.112.255,AS,JP,Hiroshima,Higashi-ku,34.4015,132.477
1.0.113.0,1.0.113.255,AS,JP,Tottori,Yonago,35.4333,133.333
1.0.114.0,1.0.114.255,AS,JP,Hiroshima,Higashi-ku,34.4015,132.477
1.0.115.0,1.0.115.255,AS,JP,Shimane,Izumo,35.3667,132.767
1.0.116.0,1.0.116.255,AS,JP,Shimane,Matsue,35.4833,133.05
1.0.117.0,1.0.117.255,AS,JP,Shimane,Izumo,35.3667,132.767
1.0.118.0,1.0.118.255,AS,JP,Tottori,Tottori-shi,35.5,134.233
1.0.119.0,1.0.120.255,AS,JP,Hiroshima,Higashi-ku,34.4015,132.477
1.0.121.0,1.0.121.255,AS,JP,Shimane,Yasugichō,35.4215,133.242
1.0.122.0,1.0.122.255,AS,JP,Shimane,Yasugi,35.3361,133.184
1.0.123.0,1.0.123.255,AS,JP,Hiroshima,Higashi-ku,34.4015,132.477
1.0.124.0,1.0.124.255,AS,JP,Shimane,Matsue,35.4833,133.05
1.0.125.0,1.0.125.255,AS,JP,Hiroshima,Higashi-ku,34.4015,132.477
1.0.126.0,1.0.127.255,AS,JP,Shimane,Izumo,35.3667,132.767
1.0.128.0,1.0.128.255,AS,TH,Bangkok,"Khwaeng Thung Song Hong",13.8941,100.584
1.0.129.0,1.0.129.255,AS,TH,Bangkok,Bangkok,13.7563,100.502
1.0.130.0,1.0.130.255,AS,TH,"Nakhon Pathom","Nakhon Pathom",13.8196,100.044
1.0.131.0,1.0.132.255,AS,TH,Bangkok,"Khwaeng Thung Song Hong",13.8941,100.584
1.0.133.0,1.0.133.255,AS,TH,Lopburi,Lopburi,14.7981,100.654
1.0.134.0,1.0.135.255,AS,TH,Bangkok,"Khwaeng Thung Song Hong",13.8941,100.584
1.0.136.0,1.0.136.255,AS,TH,"Nakhon Pathom","Sam Phran",13.727,100.215
